date_of_birth,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id,cluster id
1923/11/10,tahni,murton,11,macfarland crescent,berkeley vlge,ryde,3220,,4111794,febrl3-cl-150
1993/01/02,michael,paschalidis,1,de little circuit,nunkuri,osborne park,2380,vic,8507976,febrl3-cl-151
1988/05/28,sonja,kleve,28,dallach y place,copely,keon park,4362,nsw,7042108,febrl3-cl-152
1974/11/18,kirra,ryan,5,powers place,sawtell vet hosptl clnc,barwon heads,4551,qld,8504134,febrl3-cl-153
1947/09/08,callum,white,19,bock place,morningsite,redbank plains,2137,vic,8508455,febrl3-cl-154
1993/05/11,vincejnt,jessica,223,,lithgo wvale,ascot vale,2209,nsw,8036304,febrl3-cl-155
1959/08/18,alexa rose,hwite,,miles place,tourist caravn park,batemans bay,6169,nsw,8035124,febrl3-cl-156
1951/12/08,katelin,voy,6,nott street,,graceville,4879,vic,3546400,febrl3-cl-157
1947/12/10,jared,chandler,16,fihelly street,lamington n ational,cudal,4210,wa,3870500,febrl3-cl-158
1924/07/29,finn,weller,65,leahy close,st francis cillage,croydon north,4019,qld,7243781,febrl3-cl-159
1973/08/06,george,blam,15,mcdonald street,burnside,mount eliza,6567,vic,3873535,febrl3-cl-160
1945/01/15,toby,geragyty,49,la perouse street,,west lakes,2141,nsw,3871725,febrl3-cl-161
1934/04/27,kayne,gillard,168,bursaria street,,leeton,2621,nsw,3871937,febrl3-cl-162
1998/10/06,john,banelis,5,sexton street,glenhurst,auburn,3140,vic,8328210,febrl3-cl-163
1948/04/13,abby,grbg,27,cockcrobt avenue,avonlei gh,warren,7008,qld,9612521,febrl3-cl-164
1951/11/04,melinda,sherin,9,conley drive,,macmasters beach,3226,vic,9615557,febrl3-cl-165
1922/06/10,aiden,velkovska,51,yarrawong a street,edinburgh caravan,oakleigh,2485,wa,9618318,febrl3-cl-166
,thomas,alagich,9,crago place,country club,toorak,3216,sa,3790888,febrl3-cl-167
1941/09/15,eliza,lucyko,7,kallara close,talarc,woolgoolga,4213,nsw,9271844,febrl3-cl-168
1951/07/13,charlotte,glass,3,sculptor street,green farm mates,hahndorf,2581,qld,3792276,febrl3-cl-169
1919/01/12,nicholas,snell,135,quick st reet,kamilaroicottage,beaumaris,2184,nsw,7864865,febrl3-cl-170
1968/07/23,jasmine,aldreson,287,casuarina street,,wonthella,3610,nsw,7864178,febrl3-cl-171
1916/11/28,hamish,ryan,5,bonney street,villa 127,adamstown,2224,nsw,8439607,febrl3-cl-172
1965/10/25,nicholas,fittock,10,fortitudey street,,st kilda east,2298,nt,8437365,febrl3-cl-173
1969/02/20,chelsea,colquhoun,22,tillyard drive,rowethorpe,noarlunga downs,2800,nsw,4281779,febrl3-cl-174
1997/08/26,blaye,stanfield,9,nimbin street,glenlee,arundel,3034,nsw,4080455,febrl3-cl-175
1995/01/12,bailee,dent,58,maddock place,jingara,nowra,4171,qld,4080299,febrl3-cl-176
1989/11/27,,matthews,105,longmore crescent,willonyx,ellen grove,3215,qld,4080846,febrl3-cl-177
1949/04/20,annabelle,weetra,4,firbank close,fronda,riverhills,2025,sa,4285598,febrl3-cl-178
1938/02/18,anthony,coulson,2,clarkso street,cadogan,tin can bay,3094,vic,4284362,febrl3-cl-179
1925/11/03,sophie,hobson,113,wilkins street,environa,padstow,3429,vic,4286830,febrl3-cl-180
1969/04/12,laura,wegb,6,,martins well station,trigg,2108,vic,4088462,febrl3-cl-181
,ajay,irons,86,tarwynpjrk,wanliss street,moruyz,7248,vic,4283972,febrl3-cl-182
1970/04/09,brooke,wyllie,40,rumker place,huntington,woodcroft,4655,nsw,4282147,febrl3-cl-183
1978/07/11,charlotte,shelley,90,cromwell circuit,wombat hill,noble park,2026,vic,2664293,febrl3-cl-184
1986/06/10,felicity,pulford,25,federal highway,argyle,mayfield,4125,qld,2661643,febrl3-cl-185
1990/10/01,ethan,bartel,298,meyrick place,bingletree,tarragindi,3691,nsw,4525246,febrl3-cl-186
1982/11/29,tommy,spinato,29,howie court,pinnacles caravn park,mooloolaba,3356,nsw,4527826,febrl3-cl-187
1969/08/07,madeline,ebdell,17,amagula avenue,rockwood,nungurner,5253,sa,7508632,febrl3-cl-188
1955/09/10,ella,eyles,30,cinema centre bldg,rooth pace,yeronga,3730,nsw,8011704,febrl3-cl-189
1991/10/14,nicholas,lovelock,8,collingridge street,rooganore,ardeer,2756,act,8010826,febrl3-cl-190
1919/06/03,hannah,egan,26,kiewa street,glenanare,granville,2035,vic,1427616,febrl3-cl-191
1999/03/13,,de paoli,12,neumayer street,riverland village,prospect,2452,nsw,1420240,febrl3-cl-192
1928/12/04,tristan,carp,222,marchant circuit,georgedale,campbelltown,2913,nsw,1421166,febrl3-cl-193
1992/12/07,ella,james palmer,7,dodwell street,glenavon,chatham,6058,vic,5759173,febrl3-cl-194
1998/10/21,barnaby,siggins,51,hurley street,lakes retirement estate,kempsey,5162,vic,5752610,febrl3-cl-195
1991/08/05,erin,kerslake,19,daintree crescent,mountain view village,isle of cgpri,2062,nsw,5753438,febrl3-cl-196
1973/03/21,jordan,plane,11,austin street,leetsvale caravan park,st johns park,3051,vic,5757351,febrl3-cl-197
1911/04/14,jake,madigan,50,,panagni,port pirie,2360,nsw,5751461,febrl3-cl-198
1933/09/05,dillon,laverty,81,learmonth drive,old cob,geraldton,7015,tas,5756664,febrl3-cl-199
1979/01/25,toby,callister,1,abbott estreet,terra nostra,balhannah,6027,qld,3037039,febrl3-cl-200
1927/11/30,ella,crouch,3,wybalena grove,tieve tara,urangan,3072,wa,3031169,febrl3-cl-201
1999/12/07,yasmin,quilliam,45,mcculloch street,brackengrae,hurstbridge,5107,sa,5083417,febrl3-cl-202
1952/08/29,thomas,finlay,2,vicke ry street,brindabella court,page,2160,qld,5555657,febrl3-cl-203
1955/10/19,solomon,abourjeili,5,ellerston avenue,southern cross,attwood,3044,vic,8381808,febrl3-cl-204
1912/06/26,ruby,reid,7,fitzmaurice street,,eaglwhawk,2260,qld,8386277,febrl3-cl-205
1964/01/05,nathan,rundle,5,beaumont close,tyrone hills,coonabarabran,4020,vic,8384590,febrl3-cl-206
1991/03/12,alisa,ezis,55,lowerson place,littled ale,heahtfield,6006,vic,8388422,febrl3-cl-207
1972/01/22,blake,gillisn,13,charterisville avenue,whispering pines,avondale heights,1245,vic,1432771,febrl3-cl-208
1986/10/12,anika,spicer,3,melrose drive,rmbe 770,view bank,2067,nsw,1434508,febrl3-cl-209
1966/08/27,mason,worsley,12,waratah st reet,st francis vlge,bull creek,3401,nsw,4225051,febrl3-cl-210
1911/04/17,nathan,daehn,204,sternberg crescent,homevale,adamstown,2617,vic,4227775,febrl3-cl-211
1938/05/22,jade,arkit,56,carlile street,tralee c ottage,kempsey,2170,tas,7466463,febrl3-cl-212
1935/10/22,breony,dixon,39,downard street,,kellyville,4224,vic,7462490,febrl3-cl-213
1934/07/29,briony,dunstone,42,badham street,attunga orchard,macquarie fields,3190,wa,7461019,febrl3-cl-214
1963/02/26,reid,elana,96,vallanc e place,allandale aged care facility,somerton park,2821,nsw,3425250,febrl3-cl-215
1913/10/19,eliza,tiffin,8,brawn place,unt 19a,northbridge,2017,vic,9311089,febrl3-cl-216
1997/03/31,james,orchard,3,carnall close,kooyong,ballina,3095,qld,7947155,febrl3-cl-217
1908/03/28,ella,coulston,12,weston sgreet,locheio,hinchinbrook,2212,wa,2624790,febrl3-cl-218
1993/05/29,dale,fimeri,37,burdett crescent,star court arcade,wilson,6618,nsw,2625486,febrl3-cl-219
1976/11/17,flynn,cresp,,nambucca street,rowethorpe,sandy bay,2768,vic,2624663,febrl3-cl-220
1938/01/27,isabella,white,74,beasley street,short st albion park r,para hills,3149,sa,1518649,febrl3-cl-221
1929/10/03,lowe,lowe,3,fox place,cooee palms,gerogery,4702,nt,1515266,febrl3-cl-222
1975/07/01,kaitlin,finlay,48,campbell tsreet,bullaroo kp ark stud,belmont,3043,sa,1515037,febrl3-cl-223
1972/11/28,samuel,elphick,57,skirving place,,kyabram,2191,nsw,9177714,febrl3-cl-224
1908/08/06,hannah,clarke,79,bathurst place,kulcutra,harbord,3137,vic,9174012,febrl3-cl-225
1970/03/05,miller,egan,162,fergusson crescent,john flynn medical centre,como,2580,nsw,5022596,febrl3-cl-226
1981/03/05,zachary,hude,3,spofforth street,oakleaves,kogarah,2016,qld,5024676,febrl3-cl-227
1992/03/05,matthew,seddon,195,collingridge street,port 366,paralowie,3803,nsw,6514580,febrl3-cl-228
1901/11/24,emiily,beams,1,tarrabool street,fronda,andergrove,2075,qld,6512231,febrl3-cl-229
1984/07/29,jaime,lontoc,127,macleant reet,loma,dalby,2146,vic,4141446,febrl3-cl-230
1989/01/31,ethan,pettingill,31,carruthers street,glenefer garden,gosford east,2031,nsw,4142808,febrl3-cl-231
1961/06/01,joshua,harrington,3,davitt close,mirinjani vlge mirinjani hostel,wangaratta,2209,vic,5960004,febrl3-cl-232
1959/03/08,emma,louca,92,cherry place,pinecroft,berwick,3377,vic,4142406,febrl3-cl-233
1990/07/18,dylan,campbell,10,mackey place,cypress garden,tyalgum,2640,vic,4147733,febrl3-cl-234
1985/03/30,charlotte,orchard,3,dickinson street,kalinda park,narellan,4551,wa,3193520,febrl3-cl-235
1992/10/29,bianca,dixon,12,bingley crescent,baptist retirement,woodbridge,6021,wa,3197244,febrl3-cl-236
1943/09/21,laurne,matson,28,castleton crescent,wyndbo urne park,centennial park,3205,nsw,3198708,febrl3-cl-237
1905/03/13,eboni,moscatt,255,sid barnes crescent,brambletye vinyard,kyxbram,7249,tas,2993780,febrl3-cl-238
1931/03/29,luc y,webb,5,rischbiethw crescent,fred leam hostel,pimlico,2619,qld,3228335,febrl3-cl-239
1949/11/25,christian,white,10,boolee street,noss,doubleview,4352,nsw,2992541,febrl3-cl-240
1964/03/11,amelia,struck,29,winser crescent,pangani,coffs harbour,2250,vic,7848066,febrl3-cl-241
1986/01/03,alyssa,dixob,11,halford crescent,willandra,edgecliff,4101,nsw,3916772,febrl3-cl-242
1971/10/02,shepherdosn,shepherdson,34,lumholtz place,maranui,roleystone,6430,qld,3919359,febrl3-cl-243
1901/10/12,james,farnham,3,wanganeenavenue,marjidin,port broughton,2107,sa,3915581,febrl3-cl-244
1911/12/31,mikaela,parr,40,ijong sstreet,,brookadle,3043,nsw,6060340,febrl3-cl-245
1996/02/03,mackenzie,paterson,109,groveland crescent,the willows,mosman,6350,nsw,6068385,febrl3-cl-246
1922/06/09,madison,dixon,37,sanford place,white lodge,ringwood,5047,sa,7161189,febrl3-cl-247
1922/04/24,snell,zachary,25,mortimerlewis drive,swanlea,south grsfton,3075,vic,7167409,febrl3-cl-248
1941/06/14,joshua,white,90,david street,southern cross,long jetty,6630,nsw,7166687,febrl3-cl-249
1916/08/05,xavier,campbell,1,douglas place,bindaree,peppermint grove,2164,sa,7162936,febrl3-cl-250
1939/07/31,jazx,,55,hambidge crescent,the boight,angurug u,4170,vic,7164553,febrl3-cl-251
1981/04/27,ern,donaldson,13,hawkesbury crescent,aralee,lewisgon,7018,,2955815,febrl3-cl-252
1983/08/07,jackson,eglinton,840,fowles street,moun tview,burleigh heads,2830,sa,2932837,febrl3-cl-253
1918/01/29,imogen,louca,29,blackwell circuit,bindaree,coolum beach,2800,qld,2930517,febrl3-cl-254
1954/11/24,jenna,pasalic,679,tarana street,mallanganee,osborne,4342,vic,7730932,febrl3-cl-255
1990/10/28,brayd en,ryan,18,fairbridge crescent,walnut grovue estate,cora lynn,3152,vci,3131604,febrl3-cl-256
1991/01/11,natalia,green,358,macrossan crescent,newman medical centre,yagoona,2535,qld,3131587,febrl3-cl-257
